Clima,Conocimiento_sobre_plantas,Especie_planta,Mantiene_Planta_Tóxica,Tiempo_de_dedicacion,Preferencia_tonos,Tipo_vivienda,Toxic_Yes
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Aloe vera,No,Cuando me acuerdo,Cálidos,Apartamento,0.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Lavanda,No,Cuando me acuerdo,Cálidos,Apartamento,0.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Me he informado bastante,Helecho de Boston,Sí,Cuando me acuerdo,Me es indiferente,Apartamento,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Me he informado bastante,Filodendro,Sí,Cuando me acuerdo,Me es indiferente,Apartamento,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Me he informado bastante,Begonia rex,Sí,Cuando me acuerdo,Me es indiferente,Apartamento,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Me he informado bastante,Tradescantia,Sí,Cuando me acuerdo,Me es indiferente,Apartamento,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Me he informado bastante,Fittonia,Sí,Cuando me acuerdo,Me es indiferente,Apartamento,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Me he informado bastante,Palo de Brasil,Sí,Cuando me acuerdo,Me es indiferente,Apartamento,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Me he informado bastante,Pothos,Sí,Cuando me acuerdo,Me es indiferente,Apartamento,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Me he informado bastante,Cactus de jade,Sí,Cuando me acuerdo,Me es indiferente,Apartamento,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Me he informado bastante,Aloe vera,Sí,Cuando me acuerdo,Me es indiferente,Apartamento,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Me he informado bastante,Cactus de bola,Sí,Cuando me acuerdo,Me es indiferente,Apartamento,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Me he informado bastante,Echeveria,Sí,Cuando me acuerdo,Me es indiferente,Apartamento,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Me he informado bastante,Agave,Sí,Cuando me acuerdo,Me es indiferente,Apartamento,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Me he informado bastante,Palmera de bambú,Sí,Cuando me acuerdo,Me es indiferente,Apartamento,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Me he informado bastante,Dracaena marginata,Sí,Cuando me acuerdo,Me es indiferente,Apartamento,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Me he informado bastante,Lavanda,Sí,Cuando me acuerdo,Me es indiferente,Apartamento,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Me he informado bastante,Begonia rex,Sí,La verdad que no,Cálidos,Apartamento,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Me he informado bastante,Pothos,Sí,La verdad que no,Cálidos,Apartamento,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Me he informado bastante,Salvia,Sí,La verdad que no,Cálidos,Apartamento,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Crasula/ Suculenta de Jade,Sí,Cuando me acuerdo,Cálidos,Apartamento,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Cactus de bola,Sí,Cuando me acuerdo,Cálidos,Apartamento,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Hiedra inglesa,Sí,Cuando me acuerdo,Cálidos,Apartamento,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Orquídea phalaenopsis,No,Cuando me acuerdo,Cálidos,Chalet,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Aloe vera,No,Cuando me acuerdo,Cálidos,Chalet,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Lavanda,No,Cuando me acuerdo,Cálidos,Chalet,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Nada,Cactus de bola,Sí,La verdad que no,Fríos,Apartamento,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Nada,Haworthia,Sí,La verdad que no,Fríos,Apartamento,1.0
"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",Tengo nociones básicas,Cinta,No,Cuando me acuerdo,Me es indiferente,Chalet,0.0
"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",Tengo nociones básicas,Helecho de Boston,No,Cuando me acuerdo,Me es indiferente,Chalet,0.0
"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",Tengo nociones básicas,Planta de serpiente/ Espada de San Jorge,No,Cuando me acuerdo,Me es indiferente,Chalet,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Espatifilo,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Tradescantia,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Palo de Brasil,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Violeta africana,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Pothos,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Planta de serpiente/ Espada de San Jorge,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Ficus lyrata,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Cactus de jade,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Crasula/ Suculenta de Jade,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Ficus benjamina,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Sedum,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Aeonium,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Kalanchoe,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Hiedra inglesa,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Palmera de bambú,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Dracaena marginata,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Croton,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Lavanda,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Salvia,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Astilbe,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Geranio,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Petunia,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Begonia,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Tengo nociones básicas,Caléndula,No,Cuando me acuerdo,Me es indiferente,Apartamento,0.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Tengo nociones básicas,Cinta,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Tengo nociones básicas,Helecho de Boston,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Tengo nociones básicas,Filodendro,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Tengo nociones básicas,Costilla de Adán,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Tengo nociones básicas,Cactus de Navidad,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Tengo nociones básicas,Pothos,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Tengo nociones básicas,Cactus de jade,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Tengo nociones básicas,Crasula/ Suculenta de Jade,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Tengo nociones básicas,Aloe vera,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Tengo nociones básicas,Cactus de bola,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Tengo nociones básicas,Haworthia,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Tengo nociones básicas,Aeonium,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Tengo nociones básicas,Echeveria,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
